frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
111,53.554286924033065,55.30787727882421,157.14821745408204,161.0294897235607,128.40827542060717,96.50214434036238,165.8427557652986,101.72114368988963,147.0999843914647,138.364326782108
112,53.811489952524234,54.11629884075891,158.0737790119239,162.13984025221475,129.54659865991962,95.01704893740356,165.5407731819613,100.97066418368792,148.09537351828615,140.24328292911576
113,54.00647500777578,54.00449254375108,158.6313100435584,162.51115961289284,128.95473806035469,96.4408248205227,162.27621286327772,105.86245121313559,146.47531910322797,141.25519205158548
114,54.08137816409084,53.75988996100527,159.6186104775392,164.3531415366778,127.50278131798441,96.8137148736033,156.5915718971959,108.72263715510618,144.42980639634985,144.1172781486306
115,54.22100558568942,55.12919866224144,160.4139003370046,164.88831030893263,126.41840670873076,96.12905269222108,153.23991743102317,109.77598164723662,146.14821184591875,146.21718912315566
116,54.71920832598065,56.095938931462264,160.47101006135867,164.12324800774758,125.12825355429702,100.04097079714964,151.2728182945487,120.12488069098748,149.31326181489385,147.5306446139446
117,55.32641908353819,56.8966413194145,160.56413234488747,163.88824534326776,118.20262071907241,116.38677116139525,138.7132146005942,138.44125349132386,141.61472602034414,144.54396475231653
118,55.451357134624644,57.30008537301617,160.38400877609337,163.69663640703249,113.46022405844202,115.49971353584432,130.3334407226005,140.58845492435753,137.1658404683747,149.99346680472993
119,55.47286666941585,57.46787118548049,159.9816088018526,163.21372362356593,110.52232892058647,112.8214303179046,122.863073599062,142.8067464808997,139.5494929098268,160.30356268810476
120,54.93274713951394,57.34399050579414,159.7527460600266,162.77210357219445,109.36914871169554,112.50010869629044,117.85951304489507,141.99395206879683,143.64454874233897,155.98434328643356
121,55.03265351720195,56.400708955006905,159.8575588446265,162.40062006003095,104.9150855416826,109.24639713861092,115.57124201252185,129.5905411348886,139.21490869442187,148.48817892973298
122,54.6880121918093,56.38535981302755,159.83500238153968,162.13192572020927,99.84636540563925,113.14778685200268,104.88060081491014,131.17166025435336,134.590256969924,147.91071564284167
123,54.66539438067202,56.78299996438385,159.40103404252616,162.52624124393506,93.46168127888859,98.85534836856944,102.97279180884743,113.17064967515245,132.74264395764004,142.0101571530036
124,54.495614830209014,56.91603773403877,159.38043786071702,162.21278082864038,86.16279987731895,101.36063322129998,97.74009146596904,111.53824283084788,138.0885879153203,140.27012848234986
125,53.97811269167994,56.731360628591844,159.64778986017063,162.72457075301074,82.31593885744299,105.52485249249948,96.46178089977604,120.89972953568179,138.4870297343342,142.17865449046624
126,53.756684290445094,56.35162077621283,159.38772192741982,162.6980580515909,82.60408940205744,104.96846064617556,98.94171366027024,121.50044855930977,139.66435495344263,141.78605197536982
127,53.91572143410646,56.59233219597153,159.8124458853578,163.34183464425476,88.06834085712617,105.44156520303866,105.5961141495253,124.0766745109562,140.12119283649517,134.13391878590886
128,53.95572334656019,56.91494527303853,159.74346651882132,163.84781016034728,91.82680486182431,103.45022222496526,111.36482774466171,122.57862933025459,135.2741206840398,134.6692170187036
129,53.95040621302374,56.537003140273534,159.48329882171925,164.11358873250228,96.54420888553126,101.56633388468993,121.13378098195457,121.57136282018101,135.14370333804746,134.74074488552807
130,54.322096527018644,56.67023029353728,159.63706668114784,164.1285800595638,106.28276958086671,109.67004557205144,134.3071211051113,129.77861955131928,129.58526137560105,133.8370819734035
131,54.33041261896276,56.72474861413151,159.87191289818185,164.08175634578768,109.40265909786602,110.51126238876164,137.16087838784648,132.54928460914616,129.10225457423155,136.58089792332677
132,54.219014590815604,56.06161657073076,160.23516150257456,164.0224449475491,116.70310183977611,111.96497598603828,148.48901855849485,134.42478795260678,140.6476082549778,134.12716314226103
133,54.2130278305252,55.589485132997645,160.81954935150776,163.94440137462857,122.58889918490773,105.65757673267169,155.73340285412732,119.35659910309681,146.4670598713321,129.00075867714585
134,53.34679896462987,53.51744592784488,161.0291134236891,164.77982580033142,128.83494277806122,102.21321186121266,164.3840638595752,105.6409891858159,148.93289331150234,140.99532243172365
135,52.768758187364476,52.7778528739869,161.17770594339325,165.22467083185808,130.5763287817814,98.56579881458941,163.90121577379878,102.49213973879796,145.70008761336808,146.22187635765326
136,52.48343211511363,52.53435275365328,161.11851861806184,165.6424962940165,130.14018154558542,96.59272771153599,160.57307068916228,103.2661422028387,144.8771105151367,148.7523077444185
137,52.19970248006988,52.794794780136755,161.17082206072592,165.3416949953517,127.94208058082955,95.87398881180165,153.72571949037535,105.90391845981944,143.9066906378484,148.50338549077097
138,52.6211488653904,54.4627944883299,161.68248460838694,165.08503856507107,126.29235258797318,94.40280112583757,150.00672528525703,108.4060284889502,154.08337274993966,150.09920849369027
139,53.613240997746594,56.265598293742165,161.64247195808971,164.73285429293685,120.90224653630295,114.23386364163774,139.57446520244525,136.82037780468346,149.28725474068418,153.8824790803364
140,54.27534380753222,57.097439120564026,161.53308259596028,163.52181534295838,117.42768195979093,115.02382490912352,131.1083714886138,139.51742664027987,142.07485840244448,148.90389644810534
141,54.58543913371859,58.21124748213749,161.64959746692253,162.70551093812782,111.398661150583,110.17779384223819,122.85826572052284,138.81113845881495,143.37531817842947,156.39944250776844
142,54.77630649413232,57.260233028481196,161.39837543624174,162.51393710405642,106.5579113966727,110.92544754711945,116.20425004738289,134.95950729294478,141.6056305292158,153.6126708631173
143,53.98973138240845,56.541608979871945,161.1077723448483,162.4346427989112,101.26565064886952,106.59720254178774,108.90157230472602,118.074694007863,142.94597796796918,150.95837067881413
144,52.9483398242497,57.18958163859412,160.60782438123778,162.85052539921588,96.09244650083097,95.0318326233278,103.75360932860377,108.14225227964599,137.30608033508548,145.86280435895142
145,52.87233707960737,56.823103796750004,160.08875905348907,162.78622514644653,87.65142886224713,99.91543021094047,98.76457416152311,112.61794158210898,139.28851655129637,140.6983822961974
